CONTINENT,SIZE,country,gppd_idnr,name,capacity_m,commission,T1__6_year,T2__3_year,latitude,longitude
South America,Medium,BRA,BRA0029141,Barra do Rio ChapÃ©u,15.15,2013,2007,2016,-28.0678,-49.1508
South America,Medium,BRA,BRA0029145,FigueirÃ³polis,19.41,2010,2004,2013,-15.3926,-58.6378
South America,Small,BRA,BRA0029154,Mestre,2,2015,2009,2018,-15.9781,-55.3594
South America,Medium,BRA,BRA0029159,Rodeio Bonito,14.68,2009,2003,2012,-27.1106,-52.4806
South America,Small,BRA,BRA0029163,Coronel AraÃºjo,5.8,2007,2001,2010,-26.6725,-51.7525
South America,Small,BRA,BRA0029165,Contestado,5.6,2007,2001,2010,-26.6733,-51.7169
South America,Medium,BRA,BRA0029180,CantÃº 2,19.8071,2015,2009,2018,-24.7458,-52.4681
South America,Medium,BRA,BRA0029184,BocaiÃºva,30,2010,2004,2013,-12.5303,-57.8808
South America,Small,BRA,BRA0029217,Caju,3.2,2007,2001,2010,-26.9517,-52.4594
South America,Small,BRA,BRA0029225,Cachoeirinha,1,2007,2001,2010,-26.7706,-52.1786
South America,Medium,BRA,BRA0029245,Engenheiro Ernesto Jorge Dreher,17.87,2009,2003,2012,-29.1203,-53.3678
South America,Medium,BRA,BRA0029246,Engenheiro Henrique Kotzian,13,2011,2005,2014,-29.1306,-53.3156
South America,Small,BRA,BRA0029296,JacarÃ© Pepira,2,2010,2004,2013,-22.425,-48.02
South America,Small,BRA,BRA0029324,Serra,1,2011,2005,2014,-22.5169,-43.6922
South America,Medium,BRA,BRA0029332,JoÃ£o Borges,18.99,2013,2007,2016,-27.7178,-50.6569
South America,Medium,BRA,BRA0029367,GraÃ§a Brennand (Antiga Terra Santa),27.4,2008,2002,2011,-14.793,-57.9672
South America,Small,BRA,BRA0029373,Cascata Chupinguaia,9.6,2009,2003,2012,-12.7139,-60.8717
South America,Medium,BRA,BRA0029376,Pampeana,27.99,2009,2003,2012,-14.8301,-57.9116
South America,Small,BRA,BRA0029430,Santa Izabel,1,2009,2003,2012,-20.4183,-54.4197
South America,Medium,BRA,BRA0029434,Santa Cruz de Monte Negro,17.01,2014,2008,2017,-10.2303,-63.2336
South America,Medium,BRA,BRA0029435,Jamari,20,2015,2009,2018,-9.9537,-63.0917
South America,Medium,BRA,BRA0029436,CanaÃ£,17,2015,2009,2018,-9.9439,-63.0642
South America,Medium,BRA,BRA0029453,Baguari,140.544,2009,2003,2012,-19.022,-42.123
South America,Medium,BRA,BRA0029454,Batalha (Antiga Paulista),52.5,2014,2008,2017,-17.35,-47.4833
South America,Medium,BRA,BRA0029455,Engenheiro JosÃ© Luiz Muller de Godoy Pereira (Antiga Foz do Rio Claro),68.4,2010,2004,2013,-19.1178,-50.6456
South America,Medium,BRA,BRA0029456,Passo SÃ£o JoÃ£o,77,2012,2006,2015,-28.1394,-55.0478
South America,Medium,BRA,BRA0029457,Retiro Baixo,83.657,2010,2004,2013,-18.8944,-44.7817
